# начало	секунд	код	что	команда
2026-08-29T14:56:58	1.9	0	прогон гейта по базе	python3 scripts/revision_check.py --root .
2026-08-29T15:55:16	32.0	0	раздача канона по всем репам	python3 scripts/sync_base_local.py --all
