repo,path,lines,bytes,families,score,fam_detail,in_base,near_base,sha,reviewed
self-map,self-map/_knowledge-kit/protocol/01-rules.md,213,17827,2,207,RULE=6;STRUCT=1,,,2fcaf00ffc9b,
self-map,self-map/10-life-history/00-protocol/01-rules.md,213,17827,2,207,RULE=6;STRUCT=1,,,2fcaf00ffc9b,
self-map,self-map/10-life-history/04-deliverables/portret-vasiliy-evdokimov-final.md,1877,259690,2,207,RETRO=1;RULE=6,,,98e23bcdd57e,
self-map,self-map/10-life-history/04-deliverables/portret-final-tekst.md,1311,255105,2,207,RETRO=1;RULE=6,,,0b07ac3ed4a0,
self-map,self-map/10-life-history/02-notes/instagram.md,1241,112539,2,207,RETRO=5;RULE=2,,,e01c3709bb9b,
self-map,self-map/10-life-history/09-history/zametki-dima-ch1-str01-27.md,661,79942,2,207,META=1;RULE=6,,,afd8ca77843f,
self-map,self-map/10-life-history/09-history/prezhnie-deliverably/portret-final-tekst.md,1311,255105,2,207,RETRO=1;RULE=6,,,0b07ac3ed4a0,
exam-kit,exam-kit/experiments/README.md,44,3794,2,207,RETRO=1;RULE=6,,,778936340bf2,
exam-kit,exam-kit/examples/2026-07-23-itkn-bilet06/recognition_report.md,114,13381,2,207,REGISTRY=4;RULE=3,,,5c1570feb03d,
christ-walk,christ-walk/10-personal-and-reflection/Metodichka_Pravoslavnoe_Uhajivanie.docx.md,708,65575,2,207,RULE=6;STRUCT=1,,,74cce66adfe7,
christ-walk,christ-walk/09-practical-guidance/metodichka-pravoslavnoe-uhajivanie.md,657,67281,2,207,RULE=6;STRUCT=1,,,d88a1e9e8c5b,
personal-finance-dss,personal-finance-dss/docs/it_stack.md,400,38211,2,206,RULE=5;STRUCT=1,,,d5331dd7b09f,
personal-finance-dss,personal-finance-dss/knowledge/guides/overfitting_data_snooping_guide.md,154,14852,2,206,REGISTRY=3;RULE=3,,,163bf53d8586,
personal-finance-dss,personal-finance-dss/docs/reports/investigations/chat_context_limit_investigation.md,75,5740,2,206,REGISTRY=1;RULE=5,,,284c123c371a,
personal-finance-dss,personal-finance-dss/docs/reports/adr/adr_011_milestone8_tooling.md,148,11498,2,206,REGISTRY=4;RULE=2,,,c6366d304eb9,
personal-finance-dss,personal-finance-dss/docs/reports/testing/independent_expert_review_2026_07.md,152,29303,2,206,RULE=5;STRUCT=1,,,5ab95d1cfd92,
personal-finance-dss,personal-finance-dss/docs/reports/retrospectives/statement_parser_process.md,145,16157,2,206,RETRO=4;RULE=2,,,544a2b6446d5,
personal-finance-dss,personal-finance-dss/app/database/crud.py,1833,70541,2,206,REGISTRY=2;RULE=4,,,70c0c4be97b4,
character-a-analysis,character-a-analysis/10-life-history/README.md,85,7738,2,206,REGISTRY=1;RULE=5,,,55f7379bb177,
character-a-analysis,character-a-analysis/reports/revision-2026-08-26.md,54,4586,2,206,REGISTRY=3;RULE=3,,,4cbd2a29632b,
character-a-analysis,character-a-analysis/10-life-history/05-final-analysis/26-oshibki-prezhnih-analizov.md,69,8481,2,206,META=1;REGISTRY=5,,,b1bc9769f8fa,
mission-control,mission-control/decisions/adr_004_capture_funnel.md,46,3022,2,206,REGISTRY=3;RULE=3,,,96c8ab258532,
mission-control,mission-control/decisions/adr_011_data_in_git_site_is_client.md,86,6048,2,206,REGISTRY=4;RULE=2,,,2b941aca5e5d,
mission-control,mission-control/scripts/system_audit.py,221,9073,2,206,REGISTRY=2;RULE=4,,,fe18bc89226e,
finpilot,finpilot/app/database/crud.py,1674,63162,2,206,REGISTRY=2;RULE=4,,,6b29af363b3c,
misc-vault,misc-vault/01-documents/claude-instructions/Instruction files/Василий_КИТ/04_ИНФРАСТРУКТУРА_base-repo/00-infrastructure/04-watchlog-protocol.md,46,3880,2,206,META=3;RULE=3,,,568bece0a517,
vevdokimovm.github.io,vevdokimovm.github.io/docs/adr_002_ten_roles.md,53,3934,2,206,REGISTRY=5;RULE=1,,,439e8c643629,
health-vault,health-vault/09-methodology/metodichka-razminka-rastyazhka-massazh.md,501,59689,2,206,RULE=4;STRUCT=2,,,9544e9689e20,
legal-knowledge-base,legal-knowledge-base/05-tools/proverka-glubiny/treker-sostoyanie-baz-znaniy.md,150,41670,2,206,RULE=5;STRUCT=1,,,6b4be5b03c50,
legal-knowledge-base,legal-knowledge-base/01-libraries/setevye-svobody/05-granitsa-relokatsiya-mezhdunarodnoe-dannye.md,50,12385,2,206,RULE=5;STRUCT=1,,,a46cfceafb7a,
politics,politics/reports/imports/telegram-Чебурнет.md,204,24421,2,206,RULE=5;STRUCT=1,,,96455a5ecd8b,
portrait-of-taste,portrait-of-taste/docs/TROUBLESHOOTING_ACCESS.md,181,8337,2,206,RULE=2;STRUCT=4,,,b8484c447488,
portrait-of-taste,portrait-of-taste/02-methodology-library/README.md,62,8497,2,206,META=2;RULE=4,yes,,82784285e5e5,
portrait-of-taste,portrait-of-taste/standards/CROP_STANDARD.md,212,9349,2,206,RULE=4;STRUCT=2,,,b84557509cde,
portrait-of-taste,portrait-of-taste/reports/audits/repo_revision_2026-07-22.md,104,8153,2,206,REGISTRY=1;RULE=5,,,5368312505a3,
portrait-of-taste,portrait-of-taste/lab/instagram/README.md,235,11167,2,206,RULE=5;STRUCT=1,,,d3e2c095c1d3,
edu-base,edu-base/04-linguistics/english-grammar-ielts-metodichka.md,340,24610,2,206,META=1;RULE=5,,,b8b2011b4cc5,
edu-base,edu-base/06-speech-and-diction/materialy/breathing_methodology.pdf.md,1225,63574,2,206,RULE=5;STRUCT=1,,,7d319fd7857d,
edu-base,edu-base/04-linguistics/import/English_Grammar_IELTS_методичка.docx.md,385,23391,2,206,META=1;RULE=5,,,62aec8931f3f,
portrait-of-taste,portrait-of-taste/NEXT_STEPS.md,199,18164,2,205,RULE=4;STRUCT=1,,,aba4eda35138,
portrait-of-taste,portrait-of-taste/PROJECT_DEFENSE_PROMPTS.md,380,44664,2,205,RULE=4;STRUCT=1,,,e139f2908ff9,
character-a-analysis,character-a-analysis/00-READ-FIRST-view-works.md,93,8908,2,205,REGISTRY=4;RULE=1,,,6992112a81fb,
dota-dossier,dota-dossier/reports/infrastructure/deploy_audit.md,159,10967,2,205,RULE=2;STRUCT=3,,reports/testing/deploy_audit.md,0ba1ccc07a72,
personal-finance-dss,personal-finance-dss/docs/test_run_optimization.md,111,9361,2,205,REGISTRY=4;RULE=1,yes,,3a58780ab78e,
personal-finance-dss,personal-finance-dss/docs/engineering_practices.md,131,10581,2,205,REGISTRY=2;RULE=3,,,fa5a5fcf4657,
personal-finance-dss,personal-finance-dss/docs/research/agent_loop_hooks_and_subagents.md,150,12911,2,205,RULE=4;STRUCT=1,,,e706bec8a799,
personal-finance-dss,personal-finance-dss/docs/reports/milestone_6_7_closure.md,182,15022,2,205,REGISTRY=1;RULE=4,,,dac065541cc9,
personal-finance-dss,personal-finance-dss/docs/reports/adr/adr_template.md,89,5420,2,205,REGISTRY=3;RULE=2,,,731f16b60c91,
personal-finance-dss,personal-finance-dss/docs/reports/adr/adr_002_datetime_storage.md,115,10567,2,205,REGISTRY=4;RULE=1,,,e7d657d19dd7,
personal-finance-dss,personal-finance-dss/docs/reports/adr/adr_001_frontend_stack.md,118,10505,2,205,REGISTRY=1;RULE=4,,,d47abaa9e09f,
personal-finance-dss,personal-finance-dss/docs/model/expert_certification/iteration_protocol.md,137,14259,2,205,RULE=4;STRUCT=1,,,5a733c077c3d,
personal-finance-dss,personal-finance-dss/docs/research/raw/04_token_economics_measurable_2026-08-01.md,375,52828,2,205,META=1;RULE=4,,,33c963062023,
personal-finance-dss,personal-finance-dss/app/core/recommendation.py,370,21020,2,205,REGISTRY=1;RULE=4,,,670a043b906b,
character-a-analysis,character-a-analysis/10-life-history/00-protocol/09-session-end-self-check.md,141,9674,2,205,REGISTRY=1;RULE=4,,,89d73bc53d5e,
character-a-analysis,character-a-analysis/10-life-history/02-notes/quality-passports.md,476,40592,2,205,REGISTRY=3;RULE=2,,,c1d5add92a45,
character-a-analysis,character-a-analysis/10-life-history/03-reports/visual-missed-and-standard.md,31,3503,2,205,RULE=4;STRUCT=1,,,7ae225f648a1,
character-a-analysis,character-a-analysis/10-life-history/03-reports/integration-manifest-v1-0-0.md,52,5113,2,205,META=1;RULE=4,,,7213ae8890fd,
character-a-analysis,character-a-analysis/10-life-history/09-history/handoff-prompt-session-5.md,32,5851,2,205,META=1;RULE=4,,,06f3b64c28a0,
character-a-analysis,character-a-analysis/10-life-history/09-history/handoff-prompt-session-10.md,60,6243,2,205,REGISTRY=3;RULE=2,,,5f5cd0db0246,
character-a-analysis,character-a-analysis/10-life-history/01-registry/corpus-inventory.md,246,22283,2,205,REGISTRY=4;RULE=1,,,87c6d5dd2e81,
mission-control,mission-control/00-infrastructure/10-archive-packaging.md,77,5009,2,205,REGISTRY=1;RULE=4,,,784ac6c4880f,
mission-control,mission-control/00-infrastructure/README.md,53,5684,2,205,REGISTRY=1;RULE=4,,,589ef401c0a2,
mission-control,mission-control/decisions/adr_008_base_sync_mechanism.md,67,4659,2,205,REGISTRY=3;RULE=2,,,82275bbc9532,
mission-control,mission-control/decisions/adr_010_claude_code_zones.md,86,7338,2,205,REGISTRY=2;RULE=3,,,87bbda72ccbc,
mission-control,mission-control/reports/revision-2026-08-26.md,34,2095,2,205,REGISTRY=3;RULE=2,,,95a520593d17,
finpilot,finpilot/app/core/recommendation.py,349,19852,2,205,REGISTRY=1;RULE=4,,,908f4a4d7de3,
health-vault,health-vault/11-donation/README.md,345,23144,2,205,RULE=4;STRUCT=1,,,bfb6250d6395,
legal-knowledge-base,legal-knowledge-base/02-guides/instruktsii/Гроза/00_Обзор_и_навигация.md,73,18482,2,205,RETRO=1;RULE=4,,,68824f9f676d,
legal-knowledge-base,legal-knowledge-base/01-libraries/dso/06-pravoprimenitelnaya-praktika.md,196,25760,2,205,META=1;RULE=4,,,4cbd9f0a33f5,
academic-portfolio,academic-portfolio/05-semesters/semester-07-fall-2025/software-design-development-part-2/practical-task-01.md,175,10773,2,205,REGISTRY=3;RULE=2,,,3f51f6f91962,
academic-portfolio,academic-portfolio/05-semesters/semester-07-fall-2025/software-design-development-part-2/practice-01/practical-task-01.md,175,10773,2,205,REGISTRY=3;RULE=2,,,3f51f6f91962,
claude-usage,claude-usage/reports/revision-2026-08-26.md,32,1778,2,205,REGISTRY=2;RULE=3,,,909a1b72d723,
portrait-of-taste,portrait-of-taste/tests/test_deploy.sh,265,16238,2,205,REGISTRY=2;RULE=3,,,060fc59ab298,
portrait-of-taste,portrait-of-taste/docs/PROJECT_HISTORY.md,161,10561,2,205,RULE=1;STRUCT=4,,,4b947c078516,
portrait-of-taste,portrait-of-taste/docs/PHILOSOPHY.md,238,16943,2,205,META=4;RULE=1,,,1dbc69f2d558,
portrait-of-taste,portrait-of-taste/02-methodology-library/test_run_optimization.md,111,9361,2,205,REGISTRY=4;RULE=1,yes,,3a58780ab78e,
portrait-of-taste,portrait-of-taste/02-methodology-library/engineering_practices.md,129,10117,2,205,REGISTRY=2;RULE=3,,,a25676960c8f,
portrait-of-taste,portrait-of-taste/reports/incidents_summary.md,45,3138,2,205,REGISTRY=1;STRUCT=4,,,dcbb8c4a71be,
edu-base,edu-base/reports/revision-2026-08-26.md,58,4515,2,205,REGISTRY=3;RULE=2,,,29d351ce4e03,
self-map,self-map/_knowledge-kit/notes/handwritten-diary.md,224,18844,2,205,REGISTRY=2;RULE=3,,,3f8732a929a7,
self-map,self-map/10-life-history/02-notes/handwritten-diary.md,224,18844,2,205,REGISTRY=2;RULE=3,,,3f8732a929a7,
self-map,self-map/10-life-history/03-reports/visual-missed-and-standard.md,31,3503,2,205,RULE=4;STRUCT=1,,,7ae225f648a1,
self-map,self-map/10-life-history/03-reports/integration-manifest-v1-0-0.md,52,5113,2,205,META=1;RULE=4,,,7213ae8890fd,
self-map,self-map/10-life-history/09-history/handoff-prompt-session-5.md,32,5851,2,205,META=1;RULE=4,,,06f3b64c28a0,
exam-kit,exam-kit/examples/2026-07-22-itkn-bilet02/recognition_report.md,98,9570,2,205,REGISTRY=4;RULE=1,,,2cd59c3a4035,
exam-kit,exam-kit/examples/2026-07-23-itkn-bilet06/README.md,55,6325,2,205,REGISTRY=4;RULE=1,,,858fdd4788d6,
ml-base,ml-base/reports/revision-2026-08-26.md,51,3918,2,205,REGISTRY=2;RULE=3,,,517a0e034b74,
it-base,it-base/MANIFEST.md,117,7999,2,204,REGISTRY=3;RULE=1,,,2db6654c8700,
ml-base,ml-base/README.md,84,5699,2,204,REGISTRY=2;RULE=2,,,3eb79bbd811e,
ml-base,ml-base/MANIFEST.md,73,5290,2,204,REGISTRY=2;RULE=2,,,77daff9aeec4,
ai-relay,ai-relay/ROADMAP.md,68,5342,2,204,REGISTRY=1;RULE=3,,,5e2c74c5406c,yes
control-panel,control-panel/WATCHLOG.md,36,2156,2,204,META=1;RULE=3,,,e9ef94188af9,
visual-style,visual-style/WATCHLOG.md,31,1666,2,204,META=1;RULE=3,,,fc0fba66a99f,
claude-usage,claude-usage/MANIFEST.md,61,3523,2,204,REGISTRY=1;RULE=3,,,d0092fbdec5f,
misc-vault,misc-vault/MANIFEST.md,111,7440,2,204,REGISTRY=2;RULE=2,,,298b0671def8,
character-a-analysis,character-a-analysis/TASKS_HISTORY.md,69,7118,2,204,REGISTRY=3;RETRO=1,,,d9101c82bb7d,
personal-finance-dss,personal-finance-dss/CLAUDE.md,73,7565,2,204,REGISTRY=2;RULE=2,,,2719544d722f,
dota-dossier,dota-dossier/coaching/PHILOSOPHY.md,175,14870,2,204,RETRO=1;RULE=3,,,1ad3d8a5122b,
dota-dossier,dota-dossier/docs/coaching/12_playoff_picks_and_correction.md,522,39541,2,204,RULE=2;STRUCT=2,,,7fcf0646285c,
personal-finance-dss,personal-finance-dss/tests/test_plan_history_contract.py,137,7180,2,204,META=1;RULE=3,,,acb81a57ae18,
personal-finance-dss,personal-finance-dss/tests/test_core_properties.py,516,25210,2,204,REGISTRY=3;RULE=1,,,a6eb494d7664,
personal-finance-dss,personal-finance-dss/docs/QA.md,83,4405,2,204,REGISTRY=3;RULE=1,yes,,fd3f74783b07,
personal-finance-dss,personal-finance-dss/docs/README.md,74,6368,2,204,RULE=3;STRUCT=1,,,3f79d9c13f2a,
personal-finance-dss,personal-finance-dss/docs/archive_naming_standard.md,95,6402,2,204,REGISTRY=1;RULE=3,,,c5f10c46a22d,
personal-finance-dss,personal-finance-dss/docs/ui_visual_design_brief.md,138,14383,2,204,REGISTRY=1;RULE=3,,,993b7b9e0566,
personal-finance-dss,personal-finance-dss/docs/session_continuity.md,87,6515,2,204,REGISTRY=1;RULE=3,,,8404300f0798,
personal-finance-dss,personal-finance-dss/docs/onboarding.md,58,5097,2,204,META=1;RULE=3,,,f02b06438d14,
personal-finance-dss,personal-finance-dss/docs/frontend_migration_plan.md,196,18595,2,204,META=1;REGISTRY=3,,,609f41f8e9d9,
personal-finance-dss,personal-finance-dss/scripts/setup_claude_code_plugins.sh,118,5260,2,204,REGISTRY=2;RULE=2,,,ceff58d4e6aa,
personal-finance-dss,personal-finance-dss/knowledge/product/banks_registry.md,125,12130,2,204,META=1;RULE=3,,,4d9d631865e2,
personal-finance-dss,personal-finance-dss/knowledge/guides/repo_revision_methodology.md,92,8193,2,204,REGISTRY=2;RULE=2,,,6ecd1efc6951,
personal-finance-dss,personal-finance-dss/docs/reports/investigation_report_guide.md,137,12410,2,204,POSTMOR=3;RULE=1,,reports/investigation_report_guide.md,c602062411ed,
personal-finance-dss,personal-finance-dss/docs/reports/reporting_policy.md,95,8278,2,204,META=2;RULE=2,,,36f423c57fa4,
personal-finance-dss,personal-finance-dss/docs/reports/investigations/ci_full_pg_matrix_hang_investigation.md,146,15665,2,204,REGISTRY=1;RULE=3,,,dfb0822962c8,
personal-finance-dss,personal-finance-dss/docs/model/expert_certification/testset_methodology.md,234,21012,2,204,RULE=3;STRUCT=1,,,23e40d91261b,
personal-finance-dss,personal-finance-dss/docs/research/raw/11_rounding_convention_verification_2026-08-13.md,84,8155,2,204,RULE=2;STRUCT=2,,,50fc082b624e,
personal-finance-dss,personal-finance-dss/.claude/hooks/block-relative-read-path.py,144,7091,2,204,REGISTRY=2;RULE=2,,,07601b50f932,
personal-finance-dss,personal-finance-dss/app/core/amortization.py,175,9082,2,204,REGISTRY=2;RULE=2,,,b2423db636f0,
personal-finance-dss,personal-finance-dss/app/api/routes_planning.py,722,30800,2,204,REGISTRY=3;RULE=1,,,2b874905df7d,
character-a-analysis,character-a-analysis/10-life-history/05-final-analysis/25-istochniki-i-metod.md,146,12082,2,204,REGISTRY=1;RULE=3,,,a2cdcfe15ea3,
character-a-analysis,character-a-analysis/10-life-history/02-notes/msu-tests.md,233,20397,2,204,META=3;RULE=1,,,f1acb71f3de9,
character-a-analysis,character-a-analysis/10-life-history/09-history/mega-handoff-2.md,251,70401,2,204,RETRO=1;RULE=3,,,f560cf82a01c,
character-a-analysis,character-a-analysis/context-lab/06-history/harvest/project-archives.md,156,16890,2,204,RULE=2;STRUCT=2,,,5d4bbd467f45,
character-a-analysis,character-a-analysis/context-lab/06-history/harvest/project-analysis-docs.md,147,30383,2,204,RULE=3;STRUCT=1,,,61b11a07b10c,
mission-control,mission-control/00-infrastructure/19-claude-code.md,292,16835,2,204,REGISTRY=1;RULE=3,,,92f7e0ca4f5a,
mission-control,mission-control/decisions/adr_001_single_planning_repo.md,54,3738,2,204,REGISTRY=2;RULE=2,,,f96f5c131403,
mission-control,mission-control/reports/2026-08-13-claude-code-research.md,86,6628,2,204,REGISTRY=1;RULE=3,,,b3a62935e3f7,
mission-control,mission-control/reports/README.md,33,3264,2,204,REGISTRY=1;RULE=3,,,f608dd7a8796,
mission-control,mission-control/plans/finpilot/NOTES.md,113,9741,2,204,REGISTRY=3;STRUCT=1,,,630d56664caf,
finpilot,finpilot/tests/test_core_properties.py,516,25210,2,204,REGISTRY=3;RULE=1,,,a6eb494d7664,
finpilot,finpilot/app/core/amortization.py,175,9082,2,204,REGISTRY=2;RULE=2,,,b2423db636f0,
misc-vault,misc-vault/01-documents/notes/Анализ проекта и создание документации.md,147,30383,2,204,RULE=3;STRUCT=1,,,61b11a07b10c,
misc-vault,misc-vault/01-documents/notes/Архивы файлов проекта.md,156,16890,2,204,RULE=2;STRUCT=2,,,5d4bbd467f45,
misc-vault,misc-vault/01-documents/claude-instructions/Instruction files/Василий_КИТ/04_ИНФРАСТРУКТУРА_base-repo/00-infrastructure/README.md,48,4373,2,204,META=2;RULE=2,,,d165aee6f222,
legal-knowledge-base,legal-knowledge-base/06-conscript-school/voennoe-pravo/Статьи каталога ДСО/КМО и призывная комиссия субъекта .docx.md,73,21565,2,204,RULE=3;STRUCT=1,,,dcad4a1bdb0b,
legal-knowledge-base,legal-knowledge-base/05-tools/proverka-glubiny/МЕТОДИЧКА — как проверять готовность.md,102,10384,2,204,META=1;STRUCT=3,,,7057cea16d4c,
legal-knowledge-base,legal-knowledge-base/02-guides/instruktsii/Проверка глубины обработки/МЕТОДИЧКА — как проверять готовность.md,102,10384,2,204,META=1;STRUCT=3,,,7057cea16d4c,
legal-knowledge-base,legal-knowledge-base/01-libraries/na-ravnykh/02-zarplata-mrot-zaderzhki-prostoy.md,72,13190,2,204,RULE=3;STRUCT=1,,,f77f6f6df81c,
legal-knowledge-base,legal-knowledge-base/01-libraries/roskomsvoboda/10-mezhdunarodnaya-zashchita.md,88,12241,2,204,RETRO=2;RULE=2,,,f5b81acc2ab1,
portrait-of-taste,portrait-of-taste/docs/RELEASING.md,106,6082,2,204,REGISTRY=2;RULE=2,,,a09f0af4d770,
portrait-of-taste,portrait-of-taste/docs/RATIONALE.md,153,8829,2,204,RULE=2;STRUCT=2,,,4e5a0d82a655,
portrait-of-taste,portrait-of-taste/docs/MERGE_PROTOCOL.md,84,6449,2,204,REGISTRY=2;RULE=2,,,5d59cc66de9f,
portrait-of-taste,portrait-of-taste/02-methodology-library/QA.md,83,4405,2,204,REGISTRY=3;RULE=1,yes,,fd3f74783b07,
portrait-of-taste,portrait-of-taste/reports/investigation_report_guide.md,118,9843,2,204,POSTMOR=3;RULE=1,yes,,8d91f2a3abf5,
portrait-of-taste,portrait-of-taste/reports/report_types.md,79,7041,2,204,POSTMOR=3;RULE=1,,,4bd99bf302a2,
portrait-of-taste,portrait-of-taste/standards/SOCIAL_ANALYSIS.md,188,9545,2,204,RULE=3;STRUCT=1,,,94712aa00a19,
portrait-of-taste,portrait-of-taste/standards/RECOGNITION_SYSTEM.md,271,13890,2,204,RULE=3;STRUCT=1,,,0e94964bb274,
portrait-of-taste,portrait-of-taste/standards/PSYCHOLOGY_INTERPRETATION_PROTOCOL.md,94,5501,2,204,RULE=3;STRUCT=1,,,68717e254a6c,
portrait-of-taste,portrait-of-taste/standards/INTERVIEW_MODE.md,266,12750,2,204,RULE=3;STRUCT=1,,,575f95d1489c,
portrait-of-taste,portrait-of-taste/reports/adr/adr_template.md,92,5646,2,204,REGISTRY=3;RULE=1,yes,,055c09738cc5,
portrait-of-taste,portrait-of-taste/photos/G_Жанна_Демидова/PHOTO_ANALYSIS.md,234,31315,2,204,RULE=2;STRUCT=2,,,30ec429b41fe,
control-panel,control-panel/tests/test_vault.py,122,5029,2,204,REGISTRY=3;RULE=1,,,7644b5271267,
ai-relay,ai-relay/01-audio-to-text-lab/README.md,181,14202,2,204,REGISTRY=1;RULE=3,,,2ce475228d47,
science,science/reports/revision-2026-08-26.md,69,6219,2,204,REGISTRY=2;RULE=2,,,c1228aebcb70,
edu-base,edu-base/06-speech-and-diction/logoped-exercises.md,113,8684,2,204,RULE=3;STRUCT=1,,,9369428071e8,
edu-base,edu-base/reports/imports/telegram-Учеба-4ый-семестр.md,684,64662,2,204,META=1;RULE=3,,,a334e2a81f1a,
self-map,self-map/10-life-history/09-history/mega-handoff-2.md,251,70401,2,204,RETRO=1;RULE=3,,,f560cf82a01c,
christ-walk,christ-walk/02-theology-and-commentary/theology-guide.md,397,49581,2,204,META=1;RULE=3,,,84e63cb8c78c,
christ-walk,christ-walk/reports/revision-2026-08-26.md,57,4538,2,204,REGISTRY=2;RULE=2,,,6c5afa92e6f0,
truth-seeking,truth-seeking/WATCHLOG.md,43,2931,2,203,META=1;RULE=2,,,41050008a3dd,
truth-seeking,truth-seeking/MANIFEST.md,68,5796,2,203,REGISTRY=1;RULE=2,,,d190210ac696,
master-admission,master-admission/README.md,174,13840,2,203,META=2;RULE=1,,,8b4ac590c882,
history,history/README.md,84,6626,2,203,RETRO=1;RULE=2,,,747c53f06547,
mission-control,mission-control/ACCOUNTS.md,109,8619,2,203,REGISTRY=1;RULE=2,,,702e75d40ebf,
dota-dossier,dota-dossier/reports/infrastructure/deploy_test_report.md,123,7779,2,203,REGISTRY=2;RULE=1,,reports/testing/deploy_test_report.md,3ed3f0f5eb44,
dota-dossier,dota-dossier/reports/infrastructure/unreachable_code_pattern.md,155,10657,2,203,META=1;RULE=2,yes,,789d30d6873a,
personal-finance-dss,personal-finance-dss/tests/test_preflight.py,205,9561,2,203,REGISTRY=2;RULE=1,,,a5188a6c776f,
personal-finance-dss,personal-finance-dss/docs/RELEASES.md,177,15109,2,203,REGISTRY=1;RULE=2,,,d20da1be7e2d,
personal-finance-dss,personal-finance-dss/docs/DEPLOY.md,301,17807,2,203,REGISTRY=1;RULE=2,,,0c1259c0e19c,
personal-finance-dss,personal-finance-dss/docs/CONTRIBUTING.md,120,5852,2,203,RULE=2;STRUCT=1,,,d77959e2afe1,
personal-finance-dss,personal-finance-dss/docs/versioning_and_releases.md,169,12061,2,203,META=1;RULE=2,,,585edaad4ae7,
personal-finance-dss,personal-finance-dss/alembic/versions/0033_user_prefs_iis_status.py,43,1322,2,203,META=1;REGISTRY=2,,,d8d5cfbf02e9,
personal-finance-dss,personal-finance-dss/knowledge/business/market_entry_domestic_vs_international.md,180,14209,2,203,RULE=2;STRUCT=1,yes,,19e5b5559f41,
personal-finance-dss,personal-finance-dss/knowledge/model_validation/README.md,74,9697,2,203,REGISTRY=1;RULE=2,,,750aee8e4466,
personal-finance-dss,personal-finance-dss/knowledge/guides/templates/usability_test_report_template.md,89,5426,2,203,RETRO=1;RULE=2,yes,,6141ea7b74a7,
personal-finance-dss,personal-finance-dss/knowledge/guides/templates/requirements_sop_universal.md,252,18430,2,203,RULE=2;STRUCT=1,yes,,3c8220de8c39,
personal-finance-dss,personal-finance-dss/knowledge/business/pitch/solution_factory_methodology.md,172,14740,2,203,RULE=2;STRUCT=1,,,b1f81748230c,
personal-finance-dss,personal-finance-dss/docs/model/expert_brief_investment_instruments.md,103,10272,2,203,REGISTRY=2;RULE=1,,,881f0ff41ae2,
personal-finance-dss,personal-finance-dss/docs/reports/investigations/email_fire_and_forget_investigation.md,115,10678,2,203,REGISTRY=2;RULE=1,,,d6e012cf5e59,
personal-finance-dss,personal-finance-dss/docs/reports/adr/adr_005_engine_location.md,31,2662,2,203,REGISTRY=1;RULE=2,,,1a7bb93010e3,
personal-finance-dss,personal-finance-dss/docs/reports/adr/adr_010_parser_metrology_over_certification.md,180,13441,2,203,REGISTRY=2;RULE=1,,,353ace6c1fdf,
personal-finance-dss,personal-finance-dss/docs/reports/merges/merge_manifest_v4_27_0.md,163,17719,2,203,REGISTRY=1;RULE=2,,,150c05a2e006,
personal-finance-dss,personal-finance-dss/docs/reports/testing/model_outcomes_v3_3_0_on_v2.md,90,6432,2,203,REGISTRY=2;RULE=1,,,4c66d299f603,
personal-finance-dss,personal-finance-dss/docs/reports/engineering/unreachable_code_pattern.md,155,10657,2,203,META=1;RULE=2,yes,,789d30d6873a,
personal-finance-dss,personal-finance-dss/docs/model/expert_certification/iterations/2/expert_feedback_aggregate.md,141,15160,2,203,REGISTRY=2;RULE=1,,,cdce84630df3,
biology,biology/reports/revision-2026-08-26.md,33,2151,2,203,REGISTRY=1;RULE=2,,,0f0b396b1fbc,
salvation,salvation/docs/VISION.md,176,13311,2,203,META=1;RULE=2,,,0cba24300451,
salvation,salvation/reports/revision-2026-08-26.md,33,1867,2,203,REGISTRY=1;RULE=2,,,64a5a0ff59bc,
character-a-analysis,character-a-analysis/context-lab/02-observations.md,92,8318,2,203,REGISTRY=1;STRUCT=2,,,ecd1d2ede308,
character-a-analysis,character-a-analysis/10-life-history/09-history/00-glavnye-pravila.md,81,6348,2,203,META=1;RULE=2,,,05cee3260a8a,
character-a-analysis,character-a-analysis/10-life-history/05-final-analysis/_arhiv-prezhnih-analizov/2026-08-31-final-report-v1/03-portrait-summary.md,339,39670,2,203,META=1;RULE=2,,,652f0c239dfb,
character-a-analysis,character-a-analysis/10-life-history/00-protocol/tools/source_tool.py,424,21049,2,203,REGISTRY=2;RULE=1,,,2446570ae438,
character-a-analysis,character-a-analysis/.claude/hooks/protect-base-mirror.sh,44,2622,2,203,REGISTRY=2;RULE=1,yes,,849f2734f1ca,
character-a-analysis,character-a-analysis/context-lab/06-history/harvest/iteration-06.md,220,30757,2,203,RULE=2;STRUCT=1,,,5b0b159a4fb2,
nutrition,nutrition/reports/revision-2026-08-26.md,33,2151,2,203,REGISTRY=1;RULE=2,,,0f0b396b1fbc,
mission-control,mission-control/scripts/push-inbox.sh,307,16877,2,203,REGISTRY=1;RULE=2,,,0c41b77be767,
mission-control,mission-control/.claude/hooks/protect-base-mirror.sh,44,2622,2,203,REGISTRY=2;RULE=1,yes,,849f2734f1ca,
finpilot,finpilot/docs/DEPLOY.md,288,16053,2,203,REGISTRY=1;RULE=2,,,4af674138e65,
finpilot,finpilot/alembic/versions/0033_user_prefs_iis_status.py,43,1322,2,203,META=1;REGISTRY=2,,,d8d5cfbf02e9,
physics,physics/reports/revision-2026-08-26.md,33,2151,2,203,REGISTRY=1;RULE=2,,,0f0b396b1fbc,
