repo,path,lines,bytes,families,score,fam_detail,in_base,near_base,sha,reviewed
self-map,self-map/06-communication/telegram-(saved).md,25149,2953005,4,499,META=8;REGISTRY=11;RULE=321;STRUCT=5,,,e9fd0005b390,
legal-knowledge-base,legal-knowledge-base/CHANGELOG.md,2947,322886,4,461,META=2;REGISTRY=4;RULE=50;STRUCT=5,,,dcd7aa09b77c,
personal-finance-dss,personal-finance-dss/docs/reports/incidents_summary.md,149,26700,4,438,POSTMOR=2;REGISTRY=18;RULE=4;STRUCT=14,,,b932a7a18898,
character-a-analysis,character-a-analysis/10-life-history/02-notes/handwritten-diary.md,6330,549270,4,435,META=1;REGISTRY=2;RETRO=3;RULE=29,,,bcd2b3fa13ba,
character-a-analysis,character-a-analysis/TASKS.md,784,76153,4,427,META=1;REGISTRY=23;RETRO=1;RULE=2,,,c22c2dc58f0f,
exam-kit,exam-kit/WATCHLOG.md,246,30757,4,426,META=3;REGISTRY=18;RULE=4;STRUCT=1,,,f52a1c74d2c4,
portrait-of-taste,portrait-of-taste/reports/situations/2026-07-22-deploy-infrastructure-saga.md,201,18989,4,424,META=1;REGISTRY=12;RULE=4;STRUCT=7,,,1087a6fe30cb,
personal-finance-dss,personal-finance-dss/knowledge/guides/templates/srs_guide.md,424,34724,4,421,META=1;REGISTRY=1;RULE=18;STRUCT=1,yes,,826f598b82b9,
portrait-of-taste,portrait-of-taste/reports/requirements/srs_guide.md,424,34724,4,421,META=1;REGISTRY=1;RULE=18;STRUCT=1,yes,,826f598b82b9,
master-admission,master-admission/CHANGELOG.md,425,35378,4,420,META=1;REGISTRY=4;RULE=12;STRUCT=3,,,a3c43faf6996,
dota-dossier,dota-dossier/docs/WATCHLOG.md,1009,98462,4,420,META=3;RETRO=1;RULE=15;STRUCT=1,,,6c4cfed49928,
portrait-of-taste,portrait-of-taste/reports/situations/2026-07-24-photo-archive-integrity.md,195,11655,4,419,POSTMOR=1;REGISTRY=6;RULE=9;STRUCT=3,,,ff62ef36d85c,
character-a-analysis,character-a-analysis/10-life-history/01-registry/roadmap.md,264,34164,4,417,META=6;REGISTRY=7;RULE=2;STRUCT=2,,,77507a386344,
character-a-analysis,character-a-analysis/10-life-history/00-protocol/01-rules.md,265,23257,4,416,META=1;REGISTRY=5;RULE=9;STRUCT=1,,,9ccfdad403f5,
personal-finance-dss,personal-finance-dss/docs/reports/incident_postmortem_guide.md,99,6105,4,414,POSTMOR=9;RETRO=2;RULE=2;STRUCT=1,,,3568c75269e1,
character-a-analysis,character-a-analysis/00-infrastructure/README.md,117,14956,4,414,META=4;REGISTRY=2;RULE=7;STRUCT=1,,,a243b840e1d5,
portrait-of-taste,portrait-of-taste/reports/incident_postmortem_guide.md,108,6669,4,414,POSTMOR=9;RETRO=2;RULE=2;STRUCT=1,,,28d101afbad7,
personal-finance-dss,personal-finance-dss/knowledge/guides/development_process_methodology.md,223,20621,4,413,META=2;POSTMOR=2;REGISTRY=4;RULE=5,,02-methodology-library/development_process_methodology.md,725444a46ed2,
personal-finance-dss,personal-finance-dss/docs/model/expert_certification/ITERATION_RUNBOOK.md,244,24171,4,413,META=1;REGISTRY=1;RULE=10;STRUCT=1,,,e43a450ba469,
portrait-of-taste,portrait-of-taste/02-methodology-library/development_process_methodology.md,223,20621,4,413,META=2;POSTMOR=2;REGISTRY=4;RULE=5,,02-methodology-library/development_process_methodology.md,725444a46ed2,
portrait-of-taste,portrait-of-taste/WATCHLOG.md,257,17982,4,412,POSTMOR=1;REGISTRY=4;RULE=6;STRUCT=1,,,3935d4276b6b,
personal-finance-dss,personal-finance-dss/knowledge/guides/claude_infrastructure_methodology.md,416,49902,4,412,META=2;REGISTRY=1;RULE=8;STRUCT=1,,,a7fb55c39a52,
personal-finance-dss,personal-finance-dss/knowledge/guides/dev_methodologies_principles.md,587,41589,4,412,META=1;POSTMOR=2;RETRO=2;RULE=7,yes,,69946c582e3b,
personal-finance-dss,personal-finance-dss/docs/reports/incidents/a11y_dead_test_incident.md,96,9192,4,412,POSTMOR=8;REGISTRY=1;RETRO=2;STRUCT=1,,,c3f20e0228d7,
character-a-analysis,character-a-analysis/10-life-history/02-notes/notion-diary.md,2259,474054,4,412,META=1;RETRO=2;RULE=8;STRUCT=1,,,7e23522899c5,
portrait-of-taste,portrait-of-taste/02-methodology-library/dev_methodologies_principles.md,587,41589,4,412,META=1;POSTMOR=2;RETRO=2;RULE=7,yes,,69946c582e3b,
