date,value,unit,region,breakdown
2021-03-31,54177.8,rub_per_sqm,Вологодская область,primary|все типы квартир
2021-03-31,53345.6,rub_per_sqm,Вологодская область,primary|квартиры среднего качества (типовые)
2021-03-31,59711.5,rub_per_sqm,Вологодская область,primary|улучшенного качества
2021-03-31,63026.9,rub_per_sqm,Вологодская область,primary|элитные квартиры
2021-03-31,46452.2,rub_per_sqm,Вологодская область,secondary|все типы квартир
2021-03-31,42651.2,rub_per_sqm,Вологодская область,secondary|квартиры среднего качества (типовые)
2021-03-31,42231.3,rub_per_sqm,Вологодская область,secondary|низкого качества
2021-03-31,53162.8,rub_per_sqm,Вологодская область,secondary|улучшенного качества
2021-03-31,55873,rub_per_sqm,Вологодская область,secondary|элитные квартиры
2021-03-31,59718.9,rub_per_sqm,Воронежская область,primary|все типы квартир
2021-03-31,52853.6,rub_per_sqm,Воронежская область,primary|квартиры среднего качества (типовые)
2021-03-31,61421.8,rub_per_sqm,Воронежская область,primary|улучшенного качества
2021-03-31,53988.9,rub_per_sqm,Воронежская область,secondary|все типы квартир
2021-03-31,50897.2,rub_per_sqm,Воронежская область,secondary|квартиры среднего качества (типовые)
2021-03-31,43920.1,rub_per_sqm,Воронежская область,secondary|низкого качества
2021-03-31,68125.9,rub_per_sqm,Воронежская область,secondary|улучшенного качества
2021-03-31,84497.1,rub_per_sqm,Воронежская область,secondary|элитные квартиры
2021-03-31,251833,rub_per_sqm,Город Москва столица Российской Федерации город федерального значения,primary|все типы квартир
2021-03-31,201404,rub_per_sqm,Город Москва столица Российской Федерации город федерального значения,primary|квартиры среднего качества (типовые)
2021-03-31,217202,rub_per_sqm,Город Москва столица Российской Федерации город федерального значения,primary|улучшенного качества
2021-03-31,292813,rub_per_sqm,Город Москва столица Российской Федерации город федерального значения,primary|элитные квартиры
2021-03-31,209960,rub_per_sqm,Город Москва столица Российской Федерации город федерального значения,secondary|все типы квартир
2021-03-31,211129,rub_per_sqm,Город Москва столица Российской Федерации город федерального значения,secondary|квартиры среднего качества (типовые)
2021-03-31,203319,rub_per_sqm,Город Москва столица Российской Федерации город федерального значения,secondary|улучшенного качества
