дата	время	мА	вольт	разряд_Вт	потребление_Вт	заряд_%	IsCharging	нагрузка	периферия
2026-09-06	10:00	-2995	10.228	30.6	91	9	No	pytest+vitest, iTerm 54%	телефон+мышь
2026-09-06	10:07	-1268	10.644	13.5	73	12	No	только отрисовка, iTerm 47%	телефон+мышь
2026-09-06	10:12	-1284	10.679	13.7	74	12	No	только отрисовка	мышь
2026-09-06	10:09	+1719	11.525	+19.8 (заряд)	~40	9	Yes	отрисовка	мышь (телефон отключён, AC переткнут)
