время	процесс	вниз_Б	вверх_Б	дубли	не_в_срок	повторы
06:42:28	dota2	156643605	21967354	0	0	0
06:42:28	Tunnel	32614467	65620874	20924	67565	1074274
06:42:39	steam_osx	399849	85941	6132	0	4993
06:42:39	dota2	157127607	22030496	0	0	0
06:42:39	Tunnel	33141154	65935526	20924	67565	1074274
06:42:49	steam_osx	399849	85941	6132	0	4993
06:42:49	dota2	157577592	22089237	0	0	0
06:42:49	Tunnel	33645375	66251535	20924	67565	1074298
06:42:59	steam_osx	400620	85995	6132	0	4993
06:42:59	dota2	158005862	22160623	0	0	0
06:42:59	Tunnel	34108536	66348163	20924	67565	1074274
06:43:09	steam_osx	400809	85995	6132	0	4993
06:43:09	dota2	56519546	8735831	0	0	0
06:43:09	Tunnel	30799540	65149400	18132	45443	1069863
06:43:19	steam_osx	401587	85995	6132	0	4993
06:43:19	dota2	56782964	8685808	0	0	0
06:43:19	Tunnel	31225775	65499628	18372	45443	1069839
06:43:29	steam_osx	402169	86049	6132	0	4993
06:43:29	dota2	56979902	8575134	0	0	0
06:43:29	Tunnel	31669199	65732111	18693	51409	1069839
06:43:39	steam_osx	402547	86049	6132	0	4993
06:43:39	dota2	57387011	8663941	0	0	0
06:43:39	Tunnel	32189098	65905575	18693	51409	1069839
06:43:49	steam_osx	402935	86049	6132	0	4993
06:43:49	dota2	57671449	8717801	0	0	0
06:43:49	Tunnel	32504998	66206664	18693	51409	1069839
06:44:00	steam_osx	402935	86103	6132	0	4993
06:44:00	dota2	57990106	8772971	0	0	0
06:44:00	Tunnel	32883504	66661963	18693	51409	1069839
06:44:10	steam_osx	403438	86524	6132	0	4993
06:44:10	dota2	58330309	8829011	0	0	0
06:44:10	Tunnel	33270688	67243390	18693	51409	1069839
06:44:20	steam_osx	403531	86524	6132	0	4993
06:44:20	dota2	58673520	8887220	0	0	0
06:44:20	Tunnel	33673510	67559537	20027	51409	1145868
06:44:30	steam_osx	404102	86578	6132	0	4993
06:44:30	dota2	59070991	8940081	0	0	0
06:44:30	Tunnel	34107581	67890756	20027	51409	1145868
