время	процесс	вниз_Б	вверх_Б	дубли	не_в_срок	повторы
06:26:50	dota2	269469409	33267098	0	0	16332
06:26:50	Tunnel	183323263	275828480	34268	116256	1096224
06:27:00	steam_osx	20318393	200040072	22464	0	4954
06:27:00	dota2	269758292	33353522	0	0	16332
06:27:00	Tunnel	184183924	276681346	34268	121459	1108893
06:27:10	steam_osx	20712777	200103314	38796	0	4954
06:27:10	dota2	269816835	33478411	0	0	32664
06:27:10	Tunnel	76397364	260314285	22867	5203	1077225
06:27:20	steam_osx	20828909	204198890	38796	0	4959
06:27:20	dota2	273939995	33625908	0	0	32664
06:27:20	Tunnel	77063890	261019937	22867	5203	1077225
06:27:31	steam_osx	20941555	209766710	38796	0	5013
06:27:31	dota2	279528892	33821933	0	0	32664
06:27:31	Tunnel	77266930	261558033	22867	8621	1078573
06:27:41	steam_osx	20909622	215934932	38796	0	5013
06:27:41	dota2	285702925	34052813	0	0	32664
06:27:41	Tunnel	77662904	262066764	22867	8621	1078573
06:27:51	steam_osx	21152255	223830449	38796	0	5013
06:27:51	dota2	293613080	34304625	0	0	32664
06:27:51	Tunnel	77715154	262732000	22867	8621	1078573
06:28:01	steam_osx	21422114	231564202	38796	0	5013
06:28:01	dota2	301354345	34554223	0	0	32664
06:28:01	Tunnel	78148776	263228807	22867	9652	1078573
06:28:11	steam_osx	21488065	238308768	38796	0	5013
06:28:11	dota2	308125611	34779996	0	0	32664
06:28:11	Tunnel	78613820	263958468	22867	9652	1079073
06:28:22	steam_osx	21662360	244849200	38796	0	5013
06:28:22	dota2	314732200	35000411	0	0	32664
06:28:22	Tunnel	78708735	264174039	22867	9652	1080335
06:28:32	steam_osx	21713153	248649008	38796	0	5013
06:28:32	dota2	318554363	35151584	0	0	32664
06:28:32	Tunnel	78978945	264669837	22867	9652	1080335
06:28:42	steam_osx	21816141	252061528	38796	0	5013
06:28:42	dota2	321978117	35298702	0	0	32664
06:28:42	Tunnel	79403366	265305235	22898	11342	1080335
06:28:52	steam_osx	21916174	255325293	38796	0	5013
06:28:52	dota2	325338050	35440545	0	0	32664
06:28:52	Tunnel	80060564	266155650	23937	11342	1081683
06:29:03	steam_osx	22025588	258857225	38796	0	5013
06:29:03	dota2	328892322	35611495	0	0	32664
06:29:03	Tunnel	80598406	267012203	23937	6539	1069014
06:29:13	steam_osx	22142657	261710838	38796	0	5013
06:29:13	dota2	331914497	35754883	0	0	32664
06:29:13	Tunnel	81186167	267398224	24442	6539	1069062
06:29:23	steam_osx	22183288	262574391	38796	0	5013
06:29:23	dota2	332059544	35853304	0	0	32664
06:29:23	Tunnel	81894336	268315407	25118	6539	1069014
06:29:33	steam_osx	22221382	262623291	38796	0	5013
06:29:33	dota2	332172514	35940045	0	0	32664
06:29:33	Tunnel	82351596	268831156	25118	9854	1069014
06:29:44	steam_osx	22247138	262664000	38796	0	5013
06:29:44	dota2	332283120	36030699	0	0	32664
06:29:44	Tunnel	82604964	269035141	25118	9854	1069038
06:29:54	steam_osx	22284845	262705715	38796	0	5013
06:29:54	dota2	332396507	36123924	0	0	32664
06:29:54	Tunnel	82944587	269342742	25118	11010	1069014
06:30:04	steam_osx	22323568	262750509	38796	0	5013
06:30:04	dota2	332498691	36220090	0	0	32664
06:30:04	Tunnel	83231412	269583352	25118	12427	1069405
06:30:14	steam_osx	22361591	262792994	38796	0	5013
06:30:14	dota2	332657750	36318821	0	0	32664
06:30:14	Tunnel	83648504	269896244	25118	15123	1069405
06:30:25	steam_osx	22399809	262837008	38796	0	5013
06:30:25	dota2	332814877	36409072	0	0	32664
06:30:25	Tunnel	84040932	270182917	25118	15123	1070753
06:30:35	steam_osx	22439621	262887968	38796	0	5013
06:30:35	dota2	333005928	36509846	0	0	32664
06:30:35	Tunnel	84686123	270899997	25294	17330	1069405
06:30:45	steam_osx	22481615	262996699	38796	0	5013
06:30:45	dota2	333269370	36609044	0	0	32664
06:30:45	Tunnel	85212400	271294707	25294	21486	1069405
06:30:55	steam_osx	22519790	263038912	38796	0	5013
06:30:55	dota2	333426451	36695038	0	0	32664
06:30:55	Tunnel	85624904	271596521	25294	22163	1069405
06:31:06	steam_osx	22558347	263082614	38796	0	5013
06:31:06	dota2	333679098	36800580	0	0	32664
06:31:06	Tunnel	86552282	272612326	25294	22163	1069405
06:31:16	steam_osx	22597716	263125583	38796	0	5013
06:31:16	dota2	334029811	36903032	0	0	32664
06:31:16	Tunnel	87358292	273155064	26623	22163	1073116
06:31:26	steam_osx	22629713	264372998	38796	0	5013
06:31:26	dota2	334374359	36998024	0	0	32664
06:31:26	Tunnel	88182058	273688935	26623	22163	1073116
06:31:36	steam_osx	22659732	264406675	38796	0	5013
06:31:36	dota2	334721868	37087878	0	0	32664
06:31:36	Tunnel	88983876	274205694	26623	25324	1073116
06:31:46	steam_osx	22692365	264443378	38796	0	5013
06:31:46	dota2	335124299	37177290	0	0	32664
06:31:46	Tunnel	87173242	274086220	26623	25324	1073116
06:31:57	steam_osx	22725484	264481393	38796	0	5013
06:31:57	dota2	335520675	37272518	0	0	32664
06:31:57	Tunnel	88556504	275563051	26623	25324	1073116
06:32:07	steam_osx	22764713	264607849	38796	0	5013
06:32:07	dota2	335950333	37363718	0	0	32664
06:32:07	Tunnel	89311727	276022191	26623	25324	1073116
06:32:17	steam_osx	22798140	264649030	38796	0	5013
06:32:17	dota2	336318029	37454197	0	0	32664
06:32:17	Tunnel	90400925	277042427	26623	25324	1076617
06:32:27	steam_osx	22830885	264685496	38796	0	5013
06:32:27	dota2	336737497	37548786	0	0	32664
06:32:27	Tunnel	91359604	277641320	26623	35762	1076617
06:32:37	steam_osx	22869482	264746993	38796	0	5013
06:32:37	dota2	337127646	37646887	0	0	32664
06:32:37	Tunnel	92319233	278375630	26623	39003	1076617
06:32:48	steam_osx	22903028	264793020	38796	0	5013
06:32:48	dota2	337542972	37738417	0	0	32664
06:32:48	Tunnel	93269659	278989230	26623	43364	1076617
06:32:58	steam_osx	22937141	264835741	38796	0	5013
06:32:58	dota2	337941324	37834946	0	0	32664
06:32:58	Tunnel	94146754	279524872	28306	50225	1077989
06:33:08	steam_osx	22972097	264886501	38796	0	5013
06:33:08	dota2	338304163	37938589	0	0	32664
06:33:08	Tunnel	94974481	280045931	28306	50225	1077965
06:33:19	steam_osx	23006272	264930332	38796	0	5013
06:33:19	dota2	338694608	38039956	0	0	32664
06:33:19	Tunnel	95839127	280583075	28306	50225	1077965
06:33:29	steam_osx	23044540	265173224	38796	0	5013
06:33:29	dota2	339055530	38132605	0	0	32664
06:33:29	Tunnel	96650362	281070567	28306	50225	1077965
06:33:39	steam_osx	23083641	265219394	38796	0	5013
06:33:39	dota2	339440272	38229426	0	0	32664
06:33:39	Tunnel	97517969	281600639	28306	50225	1077965
06:33:49	steam_osx	23121736	265261150	38796	0	5013
06:33:49	dota2	339813959	38323466	0	0	32664
06:33:49	Tunnel	98360855	282118942	28306	50225	1077965
06:33:59	steam_osx	23160541	265304330	38796	0	5013
06:33:59	dota2	340171018	38421622	0	0	32664
06:33:59	Tunnel	97952465	280156177	28306	50225	1077965
06:34:10	steam_osx	23198622	265346584	38796	0	5013
06:34:10	dota2	340577350	38518789	0	0	32664
06:34:10	Tunnel	98878428	280715056	28306	54101	1077965
06:34:20	steam_osx	23237738	265393804	38796	0	5013
06:34:20	dota2	341026154	38616003	0	0	32664
06:34:20	Tunnel	99881239	281317382	28306	62174	1079313
06:34:30	steam_osx	23276727	265460711	38796	0	5013
06:34:30	dota2	341405221	38714654	0	0	32664
06:34:30	Tunnel	101038542	282475948	31831	62174	1081003
06:34:40	steam_osx	23315986	265514372	38796	0	5013
06:34:40	dota2	341759529	38811312	0	0	32664
06:34:40	Tunnel	102250903	283728683	31831	62174	1081003
06:34:51	steam_osx	23357779	265573067	38796	0	5013
06:34:51	dota2	342083526	38908670	0	0	32664
06:34:51	Tunnel	102968484	284208835	31831	62174	1081003
06:35:01	steam_osx	23405843	265653194	38796	0	5013
06:35:01	dota2	342427323	39025794	0	0	32664
06:35:01	Tunnel	103677781	284664175	31831	62174	1081003
06:35:11	steam_osx	23451169	265766870	38796	0	5013
06:35:11	dota2	342865990	39127421	0	0	32664
06:35:11	Tunnel	104513955	285176812	31831	62174	1081003
06:35:21	steam_osx	23490531	266016805	38796	0	5013
06:35:21	dota2	343197565	39231132	0	0	32664
06:35:21	Tunnel	105260105	285653023	31831	62174	1081003
06:35:32	steam_osx	23529765	266066166	38796	0	5013
06:35:32	dota2	343551454	39326906	0	0	32664
06:35:32	Tunnel	106049044	286135910	31831	62174	1081003
06:35:42	steam_osx	23569915	266110901	38796	0	5013
06:35:42	dota2	343946824	39427062	0	0	32664
06:35:42	Tunnel	106947863	286682258	31831	62174	1081003
06:35:52	steam_osx	23608748	266153634	38796	0	5013
06:35:52	dota2	344303160	39523452	0	0	32664
06:35:52	Tunnel	107702754	287069673	31831	62174	1081003
06:36:02	steam_osx	23647968	266197383	38796	0	5013
06:36:02	dota2	344683658	39622397	0	0	32664
06:36:02	Tunnel	108568714	287597887	31831	62174	1081003
06:36:13	steam_osx	23687190	266240248	38796	0	5013
06:36:13	dota2	345052426	39720943	0	0	32664
06:36:13	Tunnel	109641671	288547336	31831	62174	1081003
06:36:23	steam_osx	23727127	266285322	38796	0	5013
06:36:23	dota2	345383204	39822011	0	0	32664
06:36:23	Tunnel	110803368	289773314	32951	62174	1081003
06:36:33	steam_osx	23767240	266340878	38796	0	5013
06:36:33	dota2	345723742	39922532	0	0	32664
06:36:33	Tunnel	111587521	290278752	32951	62174	1081003
