"territory osp","number","date","name of the organization","TIN","OGRN","part of law","structure of law","result","fact","total"
"УФССП России по ХМАО - Югре","41/26/86000-АП","09.06.2026","ПАО ""МТС-Банк""","7702045051","1027739053704","ч.1 ст.14.57","230-ФЗ","40000.00","нет данных","нет данных"
"УФССП России по ХМАО - Югре","35/26/86000-АП","29.05.2026","ООО МКК ""ЭКВАЗАЙМ""","7300032408","1247300004380","ч.1 ст.14.57","230-ФЗ","Предупреждение","нет данных","нет данных"
"УФССП России по ХМАО - Югре","31/26/86000-АП","01.06.2026","ООО МКК ""Финансовый аспект""","3811469624","1203800012294","ч.2 ст.14.57","230-ФЗ","40000.00","нет данных","нет данных"
"УФССП России по ХМАО - Югре","29/26/86000-АП","26.05.2026","ООО ""ПКО ""Интеграл""","3459086819","1243400005166","ч.1 ст.14.57","230-ФЗ","60000.00","нет данных","нет данных"
"УФССП России по ХМАО - Югре","27/26/86000-АП","30.06.2026","Альянс","9725194575","1257700451722","ч.6 ст.14.57","230-ФЗ","Предупреждение","нет данных","нет данных"
"УФССП России по ХМАО - Югре","25/26/86000-АП","13.05.2026","ООО МКК ""Динар""","9727079948","1247700466980","ч.1 ст.14.57","230-ФЗ","15000.00","нет данных","нет данных"
"УФССП России по ХМАО - Югре","24/26/86000-АП","28.04.2026","ООО ""ПКО ""Интеграл""","3459086819","1243400005166","ч.1 ст.14.57","230-ФЗ","30000.00","нет данных","нет данных"
"УФССП России по ХМАО - Югре","22/26/86000-АП","13.05.2026","ООО ПКО ""Человек в законе""","5402087120","1255400009358","ч.1 ст.14.57","230-ФЗ","50000.00","нет данных","нет данных"
"УФССП России по ХМАО - Югре","21/26/86000-АП","13.05.2026","ПАО ""МТС-Банк""","7702045051","1027739053704","ч.1 ст.14.57","230-ФЗ","50000.00","нет данных","нет данных"
"УФССП России по ХМАО - Югре","18/26/86000-АП","14.04.2026","ООО МФК ""МигКредит""","7715825027","1107746671207","ч.1 ст.14.57","230-ФЗ","50000.00","нет данных","нет данных"
"УФССП России по ХМАО - Югре","17/26/86000-АП","06.04.2026","ООО МКК ""Диджитал Мани""","5445030457","1195476084968","ч.1 ст.14.57","230-ФЗ","30000.00","нет данных","нет данных"
"УФССП России по ХМАО - Югре","16/26/86000-АП","03.04.2026","ООО МКК ""ЗТЧ""","6316284688","1236300021462","ч.1 ст.14.57","230-ФЗ","35000.00","нет данных","нет данных"
"УФССП России по ХМАО - Югре","15/26/86000-АП","14.04.2026","МКК ""Центр финансовой поддержки"" (ПАО)","7727480641","1217700621709","ч.1 ст.14.57","230-ФЗ","Предупреждение","нет данных","нет данных"
"УФССП России по ХМАО - Югре","14/26/86000-АП","31.03.2026","ООО ""ПКО ""Интеграл""","3459086819","1243400005166","ч.1 ст.14.57","230-ФЗ","30000.00","нет данных","нет данных"
"УФССП России по ХМАО - Югре","13/26/86000-АП","07.04.2026","ООО ""ПКО ""ЭквИта-Капитал""","5405074715","1225400025410","ч.1 ст.14.57","230-ФЗ","40000.00","нет данных","нет данных"
"УФССП России по ХМАО - Югре","11/26/86000-АП","24.03.2026","Романова Надежда Дмитриевна","0","0","ч.1 ст.14.57","230-ФЗ","Предупреждение","нет данных","нет данных"
"УФССП России по ХМАО - Югре","10/26/86000-АП","27.03.2026","ООО ""Скорый Займ""","9718244306","1247700019764","ч.1 ст.14.57","230-ФЗ","50000.00","нет данных","нет данных"
"УФССП России по ХМАО - Югре","7/26/86000-АП","13.03.2026","ООО МКК ""Бриз""","5404070027","1185476002117","ч.1 ст.14.57","230-ФЗ","50000.00","нет данных","нет данных"
"УФССП России по ХМАО - Югре","6/26/86000-АП","15.05.2026","АО ""МКК УФ""","6162089317","1236100023433","ч.1 ст.14.57","230-ФЗ","60000.00","нет данных","нет данных"
"УФССП России по ХМАО - Югре","5/26/86000-АП","27.02.2026","ООО МКК ""Фастмани.ру""","7805714988","1177847323741","ч.1 ст.14.57","230-ФЗ","20000.00","нет данных","нет данных"
"УФССП России по ХМАО - Югре","4/26/86000-АП","04.05.2026","ООО МКК ""Займ Онлайн""","7703769314","1127746428171","ч.1 ст.14.57","230-ФЗ","60000.00","нет данных","нет данных"
"УФССП России по ХМАО - Югре","3/26/86000-АП","03.03.2026","Тактарева Мария Юрьевна","0","0","ч.1 ст.14.57","230-ФЗ","Предупреждение","нет данных","нет данных"
"УФССП России по ХМАО - Югре","1/26/86000-АП","13.02.2026","ООО МКк ""Декада""","9719060559","1237700913780","ч.1 ст.14.57","230-ФЗ","30000.00","нет данных","нет данных"
"УФССП России по ХМАО - Югре","125/25/86000-АП","20.02.2026","ООО МКК ""ДеньгиМигом""","1650244278","1121650010943","ч.1 ст.14.57","230-ФЗ","25000.00","нет данных","нет данных"
"УФССП России по ХМАО - Югре","124/25/86000-АП","03.02.2026","ООО МКК ""Броктон""","1685013200","1231600043619","ч.1 ст.14.57","230-ФЗ","30000.00","нет данных","нет данных"
"УФССП России по ХМАО - Югре","123/25/86000-АП","19.06.2026","ПАО Сбербанк","7707083893","1027700132195","ч.1 ст.14.57","230-ФЗ","125000.00","нет данных","нет данных"
"УФССП России по ХМАО - Югре","121/25/86000-АП","03.02.2026","ООО ""ПКО СОЛ""","6164139228","1226100025029","ч.1 ст.14.57","230-ФЗ","180000.00","нет данных","нет данных"
"УФССП России по ХМАО - Югре","120/25/86000-АП","10.02.2026","ООО МКК ""Броктон""","1685013200","1231600043619","ч.1 ст.14.57","230-ФЗ","30000.00","нет данных","нет данных"
"УФССП России по ХМАО - Югре","118/25/86000-АП","02.02.2026","ООО МКК ""БалтКредит""","7804688407","1217800176318","ч.1 ст.14.57","230-ФЗ","12500.00","нет данных","нет данных"
"УФССП России по ХМАО - Югре","117/25/86000-АП","23.01.2026","АО ""Кредит Европа Банк (Россия)""","7705148464","1037739326063","ч.1 ст.14.57","230-ФЗ","100000.00","нет данных","нет данных"
"УФССП России по ХМАО - Югре","115/25/86000-АП","20.01.2026","ООО ""ПКО ""Интеграл""","3459086819","1243400005166","ч.1 ст.14.57","230-ФЗ","25000.00","нет данных","нет данных"
"УФССП России по ХМАО - Югре","114/25/86000-АП","13.01.2026","АО КБ ""Пойдём!""","5401122100","1025480001073","ч.1 ст.14.57","230-ФЗ","40000.00","нет данных","нет данных"
"УФССП России по ХМАО - Югре","112/25/86000-АП","07.04.2026","ООО МФК ""Каранга""","5405060085","1205400057521","ч.1 ст.14.57","230-ФЗ","25000.00","нет данных","нет данных"
"УФССП России по ХМАО - Югре","111/25/86000-АП","22.01.2026","ПАО АКБ ""Авангард""","7702021163","1027700367507","ч.2 ст.14.57","230-ФЗ","Предупреждение","нет данных","нет данных"
"УФССП России по ХМАО - Югре","110/25/86000-АП","27.01.2026","АО ""АЛЬФА-БАНК""","7728168971","1027700067328","ч.1 ст.14.57","230-ФЗ","100000.00","нет данных","нет данных"
"УФССП России по ХМАО - Югре","104/25/86000-АП","04.05.2026","ООО МКК ""Платиза.Ру""","7705974076","5117746058172","ч.1 ст.14.57","230-ФЗ","30000.00","нет данных","нет данных"
"УФССП России по ХМАО - Югре","79/25/86000-АП","06.06.2026","ООО ПКО ""Ваш долг""","9726053295","1237700607352","ч.1 ст.14.57","230-ФЗ","Предупреждение","нет данных","нет данных"
"УФССП России по ХМАО - Югре","59/25/86000-АП","18.03.2026","АО ""Экспобанк""","7708397772","1217700369083","ч.1 ст.14.57","230-ФЗ","100000.00","нет данных","нет данных"
"УФССП России по ХМАО - Югре","49/25/86000-АП","07.04.2026","ООО МКК ""Каппадокия""","7459007268","1197456052199","ч.1 ст.14.57","230-ФЗ","80000.00","нет данных","нет данных"
"УФССП России по ХМАО - Югре","32/25/86000-АП","17.04.2026","ПАО Сбербанк","7707083893","1027700132195","ч.1 ст.14.57","230-ФЗ","100000.00","нет данных","нет данных"
"УФССП России по Республике Саха (Якутия)","11/26/14000-АП","30.06.2026","АО ""ТБанк""","7710140679","1027739642281","ч.1 ст.14.57","230-ФЗ","100000.00","нет данных","нет данных"
"УФССП России по Республике Саха (Якутия)","10/26/14000-АП","16.06.2026","Юшин Михаил Сергеевич","0","0","ч.2 ст.14.57","230-ФЗ","20000.00","нет данных","нет данных"
"УФССП России по Республике Саха (Якутия)","9/26/14000-АП","09.06.2026","ООО МКК ""Рубикон""","2465130359","1152468038568","ч.1 ст.14.57","230-ФЗ","35000.00","нет данных","нет данных"
"УФССП России по Республике Саха (Якутия)","8/26/14000-АП","28.05.2026","ООО ""Волна""","1435250150","1121435001434","ч.6 ст.14.57","230-ФЗ","50000.00","нет данных","нет данных"
"УФССП России по Республике Саха (Якутия)","7/26/14000-АП","04.05.2026","АО ""АЛЬФА-БАНК""","7728168971","1027700067328","ч.1 ст.14.57","230-ФЗ","40000.00","нет данных","нет данных"
"УФССП России по Республике Саха (Якутия)","6/26/14000-АП","11.05.2026","ПАО Сбербанк","7707083893","1027700132195","ч.1 ст.14.57","230-ФЗ","40000.00","нет данных","нет данных"
"УФССП России по Республике Саха (Якутия)","4/26/14000-АП","30.03.2026","ПАО ""Банк ПСБ""","7744000912","1027739019142","ч.1 ст.14.57","230-ФЗ","50000.00","нет данных","нет данных"
"УФССП России по Республике Саха (Якутия)","3/26/14000-АП","27.03.2026","ПАО Сбербанк","7707083893","1027700132195","ч.1 ст.14.57","230-ФЗ","40000.00","нет данных","нет данных"
"УФССП России по Республике Саха (Якутия)","2/26/14000-АП","16.03.2026","ООО ПКО ""Интеграл""","3459086819","1243400005166","ч.1 ст.14.57","230-ФЗ","Предупреждение","нет данных","нет данных"
"УФССП России по Республике Саха (Якутия)","1/26/14000-АП","30.03.2026","НАО ПКО ""ПКБ""","2723115222","1092723000446","ч.1 ст.14.57","230-ФЗ","50000.00","нет данных","нет данных"
"УФССП России по Республике Саха (Якутия)","14/25/14000-АП","17.02.2026","ООО МКК ""БалтКредит""","7804688407","1217800176318","ч.1 ст.14.57","230-ФЗ","Предупреждение","нет данных","нет данных"
"УФССП России по Республике Саха (Якутия)","13/25/14000-АП","24.02.2026","АО ""АЛЬФА-БАНК""","7728168971","1027700067328","ч.1 ст.14.57","230-ФЗ","50000.00","нет данных","нет данных"
"УФССП России по Республике Саха (Якутия)","7/25/14000-АП","21.04.2026","ООО МКК Умный займ","7802948882","1247800001756","ч.1 ст.14.57","230-ФЗ","25000.00","нет данных","нет данных"
"УФССП России по Чувашской Республике","24/26/21000-АП","18.05.2026","ООО МКК ""ЗТЧ""","6316284688","1236300021462","ч.1 ст.14.57","230-ФЗ","50000.00","нет данных","нет данных"
"УФССП России по Чувашской Республике","23/26/21000-АП","01.05.2026","ООО МКК ""Финансовый Аспект""","3811469624","1203800012294","ч.1 ст.14.57","230-ФЗ","40000.00","нет данных","нет данных"
"УФССП России по Чувашской Республике","17/26/21000-АП","07.04.2026","АО ""АЛЬФА-БАНК""","7728168971","1027700132195","ч.1 ст.14.57","230-ФЗ","100000.00","нет данных","нет данных"
"УФССП России по Чувашской Республике","10/26/21000-АП","07.05.2026","НАО ПКО ""ПКБ""","2723115222","1092723000446","ч.1 ст.14.57","230-ФЗ","75000.00","нет данных","нет данных"
"УФССП России по Чувашской Республике","9/26/21000-АП","27.03.2026","ООО ""Аквариус""","9714011290","1237700365506","ч.1 ст.14.57","230-ФЗ","80000.00","нет данных","нет данных"
"УФССП России по Чувашской Республике","8/26/21000-АП","24.02.2026","ПАО Сбербанк","7707083893","1027700132195","ч.1 ст.14.57","230-ФЗ","50000.00","нет данных","нет данных"
"УФССП России по Чувашской Республике","4/26/21000-АП","20.02.2026","Зайцева Алина Дмитриевна","0","0","ч.1 ст.14.57","230-ФЗ","Предупреждение","нет данных","нет данных"
"УФССП России по Чувашской Республике","115/25/21000-АП","30.03.2026","Уваров Александр Александрович","0","0","ч.1 ст.14.57","230-ФЗ","Предупреждение","нет данных","нет данных"
"УФССП России по Чувашской Республике","73/25/21000-АП","22.01.2026","АО ""ТБанк""","7710140679","1027739642281","ч.1 ст.14.57","230-ФЗ","25000.00","нет данных","нет данных"
"УФССП России по Чувашской Республике","67/25/21000-АП","27.03.2026","ПАО Сбербанк","7707083893","1027700132195","ч.1 ст.14.57","230-ФЗ","50000.00","нет данных","нет данных"
"УФССП России по Чувашской Республике","66/25/21000-АП","24.02.2026","ПАО Сбербанк","7707083893","1027700132195","ч.1 ст.14.57","230-ФЗ","100000.00","нет данных","нет данных"
"УФССП России по Чувашской Республике","60/25/21000-АП","27.05.2026","ПАО ""Совкомбанк""","4401116480","1144400000425","ч.1 ст.14.57","230-ФЗ","120000.00","нет данных","нет данных"
"УФССП России по Чувашской Республике","33/25/21000-АП","15.01.2026","ПАО Сбербанк","7707083893","1027700132195","ч.1 ст.14.57","230-ФЗ","100000.00","нет данных","нет данных"
"УФССП России по Чеченской Республике","1/25/20000-АП","09.02.2026","Хасаханов Беслан Ибрагимович","0","0","ч.1 ст.14.57","230-ФЗ","20000.00","нет данных","нет данных"
"УФССП России по Республике Хакасия","10/26/19000-АП","30.06.2026","ООО МКК ""ЗТЧ""","6316284688","1236300021462","ч.1 ст.14.57","230-ФЗ","70000.00","нет данных","нет данных"
"УФССП России по Республике Хакасия","7/26/19000-АП","21.04.2026","ООО МКК ""Луна""","9728109264","1237700707078","ч.1 ст.14.57","230-ФЗ","50000.00","нет данных","нет данных"
"УФССП России по Республике Хакасия","6/26/19000-АП","24.03.2026","ООО МКК ""ЗТЧ""","6316284688","1236300021462","ч.1 ст.14.57","230-ФЗ","Предупреждение","нет данных","нет данных"
"УФССП России по Республике Хакасия","5/26/19000-АП","23.03.2026","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ПРОФЕССИОНАЛЬНАЯ КОЛЛЕКТОРСКАЯ ОРГАНИЗАЦИЯ ""СИБИРСКОЕ КОЛЛЕКТОРСКОЕ АГЕНТСТВО""","1901107255","1121901001958","ч.1 ст.14.57","230-ФЗ","25000.00","нет данных","нет данных"
"УФССП России по Республике Хакасия","4/26/19000-АП","25.02.2026","Турганова Наталья Евгеньевна","0","0","ч.3 ст.14.57","230-ФЗ","Предупреждение","нет данных","нет данных"
"УФССП России по Республике Хакасия","3/26/19000-АП","24.02.2026","ПАО Сбербанк","7707083893","1027700132195","ч.1 ст.14.57","230-ФЗ","25000.00","нет данных","нет данных"
"УФССП России по Республике Хакасия","2/26/19000-АП","25.02.2026","НАО ПКО ""ПКБ""","2723115222","1092723000446","ч.1 ст.14.57","230-ФЗ","25000.00","нет данных","нет данных"
"УФССП России по Республике Хакасия","23/25/19000-АП","13.01.2026","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОФЕССИОНАЛЬНАЯ КОЛЛЕКТОРСКАЯ ОРГАНИЗАЦИЯ КОНТРОЛЬ""","9102201009","1159102130549","ч.1 ст.14.57","230-ФЗ","50000.00","нет данных","нет данных"
"УФССП России по Республике Хакасия","20/25/19000-АП","22.01.2026","ООО ""ПКО ""ИНТЕГРАЛ""","3459086819","1243400005166","ч.1 ст.14.57","230-ФЗ","25000.00","нет данных","нет данных"
"УФССП России по Удмуртской Республике","26/26/18000-АП","02.06.2026","ПАО Сбербанк","7707083893","1027700132195","ч.1 ст.14.57","230-ФЗ","30000.00","нет данных","нет данных"
"УФССП России по Удмуртской Республике","22/26/18000-АП","05.05.2026","ПАО ""Почта Банк""","3232005484","1023200000010","ч.1 ст.14.57","230-ФЗ","30000.00","нет данных","нет данных"
"УФССП России по Удмуртской Республике","21/26/18000-АП","07.04.2026","ООО ""МФК ""Экофинанс""","7715450868","1157746230730","ч.1 ст.14.57","230-ФЗ","35000.00","нет данных","нет данных"
"УФССП России по Удмуртской Республике","19/26/18000-АП","07.04.2026","ООО Кредиттер","7702463482","1197746100530","ч.1 ст.14.57","230-ФЗ","30000.00","нет данных","нет данных"
"УФССП России по Удмуртской Республике","16/26/18000-АП","31.03.2026","ООО МКК ""М-ДЕНЬГИ""","9703151232","1237700493216","ч.1 ст.14.57","230-ФЗ","25000.00","нет данных","нет данных"
"УФССП России по Удмуртской Республике","14/26/18000-АП","07.04.2026","ООО МКК ""ФАСТМАНИ.РУ""","7805714988","1177847323741","ч.1 ст.14.57","230-ФЗ","30000.00","нет данных","нет данных"
"УФССП России по Удмуртской Республике","12/26/18000-АП","31.03.2026","ООО МКК ""БЕРИБЕРУ""","1657270975","1211600072342","ч.1 ст.14.57","230-ФЗ","60000.00","нет данных","нет данных"
"УФССП России по Удмуртской Республике","11/26/18000-АП","11.03.2026","ООО МКК Кредиска","5262378712","1215200013170","ч.1 ст.14.57","230-ФЗ","30000.00","нет данных","нет данных"
"УФССП России по Удмуртской Республике","7/26/18000-АП","24.03.2026","НАО ПКО ""ПКБ""","2723115222","1092723000446","ч.1 ст.14.57","230-ФЗ","150000.00","нет данных","нет данных"
"УФССП России по Удмуртской Республике","3/26/18000-АП","24.03.2026","АО ""АЛЬФА-БАНК""","7728168971","1027700067328","ч.1 ст.14.57","230-ФЗ","150000.00","нет данных","нет данных"
"УФССП России по Удмуртской Республике","104/25/18000-АП","26.01.2026","ПАО Сбербанк","7707083893","1027700132195","ч.1 ст.14.57","230-ФЗ","50000.00","нет данных","нет данных"
"УФССП России по Удмуртской Республике","103/25/18000-АП","02.02.2026","ООО ПКО ""АКТИВ-МЕНЕДЖМЕНТ""","1800039619","0","ч.4 ст.14.57","230-ФЗ","Предупреждение","нет данных","нет данных"
"УФССП России по Удмуртской Республике","100/25/18000-АП","13.01.2026","ООО МКК ""Финансовый аспект""","3811469624","1203800012294","ч.1 ст.14.57","230-ФЗ","40000.00","нет данных","нет данных"
"УФССП России по Удмуртской Республике","97/25/18000-АП","13.01.2026","ООО ПКО ""Экспресс Коллекшн""","1831167427","1141831003192","ч.1 ст.14.57","230-ФЗ","Предупреждение","нет данных","нет данных"
"УФССП России по Удмуртской Республике","94/25/18000-АП","16.03.2026","ООО МФК ""ЗАЙМ ОНЛАЙН""","7703769314","1127746428171","ч.1 ст.14.57","230-ФЗ","50000.00","нет данных","нет данных"
"УФССП России по Удмуртской Республике","93/25/18000-АП","13.01.2026","ООО МКК ""Мани три""","6318072015","1236300018460","ч.1 ст.14.57","230-ФЗ","Предупреждение","нет данных","нет данных"
"УФССП России по Удмуртской Республике","91/25/18000-АП","10.02.2026","ООО МФК ""Лайм-Займ""","7724889891","1137746831606","ч.1 ст.14.57","230-ФЗ","25000.00","нет данных","нет данных"
"УФССП России по Удмуртской Республике","73/25/18000-АП","13.01.2026","ООО ""МФК НФ""","6162073437","1166196099057","ч.1 ст.14.57","230-ФЗ","100000.00","нет данных","нет данных"
"УФССП России по Удмуртской Республике","72/25/18000-АП","29.01.2026","АО ""МКК УФ""","6162089317","1236100023433","ч.1 ст.14.57","230-ФЗ","100000.00","нет данных","нет данных"
"УФССП России по Удмуртской Республике","53/25/18000-АП","18.05.2026","ООО МКК ""ДЗП-Единый""","7814821288","1237800038442","ч.1 ст.14.57","230-ФЗ","25000.00","нет данных","нет данных"
"УФССП России по Удмуртской Республике","52/25/18000-АП","18.05.2026","ООО ""КАПИТАЛЪ-НТ""","6623106990","1146623008707","ч.1 ст.14.57","230-ФЗ","50000.00","нет данных","нет данных"
"УФССП России по Республике Тыва","2/26/17000-АП","22.06.2026","АО ""ТБанк""","7710140679","1027739642281","ч.1 ст.14.57","230-ФЗ","100000.00","нет данных","нет данных"
"УФССП России по Республике Тыва","1/26/17000-АП","10.02.2026","ПАО Сбербанк","7707083893","1027700132195","ч.1 ст.14.57","230-ФЗ","100000.00","нет данных","нет данных"
"УФССП России по Республике Тыва","10/25/17000-АП","17.02.2026","НАО ПКО ""ПКБ""","2723115222","1092723000446","ч.1 ст.14.57","230-ФЗ","200000.00","нет данных","нет данных"
"УФССП России по Республике Татарстан","25/26/16000-АП","13.05.2026","ООО МКК ""ФИНПРОМ""","1657230605","1161690162402","ч.1 ст.14.57","230-ФЗ","25000.00","нет данных","нет данных"
"УФССП России по Республике Татарстан","24/26/16000-АП","26.05.2026","ООО МФК ""Вэббанкир""","7733812126","1127746630846","ч.1 ст.14.57","230-ФЗ","50000.00","нет данных","нет данных"
"УФССП России по Республике Татарстан","20/26/16000-АП","21.04.2026","АО ""АЛЬФА-БАНК""","7728168971","1027700067328","ч.1 ст.14.57","230-ФЗ","150000.00","нет данных","нет данных"
"УФССП России по Республике Татарстан","19/26/16000-АП","12.05.2026","Кушлянский Константин Викторович","0","0","ч.2 ст.14.57","230-ФЗ","10000.00","нет данных","нет данных"
"УФССП России по Республике Татарстан","18/26/16000-АП","14.04.2026","ООО МКК ""ОТП Финанс""","7713390236","1157746064300","ч.1 ст.14.57","230-ФЗ","50000.00","нет данных","нет данных"
"УФССП России по Республике Татарстан","16/26/16000-АП","07.04.2026","ПАО ""СОВКОМБАНК""","4401116480","1144400000425","ч.1 ст.14.57","230-ФЗ","150000.00","нет данных","нет данных"
"УФССП России по Республике Татарстан","15/26/16000-АП","28.04.2026","ПАО Сбербанк","7707083893","1027700132195","ч.1 ст.14.57","230-ФЗ","50000.00","нет данных","нет данных"
"УФССП России по Республике Татарстан","13/26/16000-АП","07.04.2026","АО ""Банк Русский Стандарт""","7707056547","1027739210630","ч.1 ст.14.57","230-ФЗ","150000.00","нет данных","нет данных"
"УФССП России по Республике Татарстан","11/26/16000-АП","24.04.2026","Муратшин Динар Маратович","0","0","ч.2 ст.14.57","230-ФЗ","Предупреждение","нет данных","нет данных"
"УФССП России по Республике Татарстан","10/26/16000-АП","24.04.2026","Кушлянский Константин Викторович","0","0","ч.2 ст.14.57","230-ФЗ","Предупреждение","нет данных","нет данных"
"УФССП России по Республике Татарстан","8/26/16000-АП","24.04.2026","Казанский кооперативный институт (филиал) Автономной некоммерческой образовательной организации высшего образования Центросоюза ""Российской Федерации Университет кооперации""","5029088491","1065029009429","ч.6 ст.14.57","230-ФЗ","Предупреждение","нет данных","нет данных"
"УФССП России по Республике Татарстан","7/26/16000-АП","11.03.2026","ООО МКК ""Вайтмани диджитал""","1655464943","1211600072296","ч.1 ст.14.57","230-ФЗ","75000.00","нет данных","нет данных"
"УФССП России по Республике Татарстан","6/26/16000-АП","11.03.2026","ООО МКК ""ЗТЧ""","6316284688","1236300021462","ч.1 ст.14.57","230-ФЗ","150000.00","нет данных","нет данных"
"УФССП России по Республике Татарстан","4/26/16000-АП","12.05.2026","ООО ""ПКО ""М.Б.А. Финансы""","7726626680","1097746177693","ч.1 ст.14.57","230-ФЗ","50000.00","нет данных","нет данных"
"УФССП России по Республике Татарстан","3/26/16000-АП","23.03.2026","АО ПКО ""ФАСП""","7704527702","1047796582305","ч.1 ст.14.57","230-ФЗ","50000.00","нет данных","нет данных"
"УФССП России по Республике Татарстан","2/26/16000-АП","17.02.2026","АО ""АЛЬФА-БАНК""","7728168971","1027700067328","ч.1 ст.14.57","230-ФЗ","100000.00","нет данных","нет данных"
"УФССП России по Республике Татарстан","72/25/16000-АП","03.02.2026","АО ""ТБанк""","7710140679","1027739642281","ч.1 ст.14.57","230-ФЗ","25000.00","нет данных","нет данных"
"УФССП России по Республике Татарстан","71/25/16000-АП","27.01.2026","ООО МКК ""Ясень""","7734453293","1227700204160","ч.1 ст.14.57","230-ФЗ","150000.00","нет данных","нет данных"
"УФССП России по Республике Татарстан","70/25/16000-АП","13.01.2026","ООО ПКО ""Компас""","1656117090","1211600001821","ч.2 ст.14.57","230-ФЗ","150000.00","нет данных","нет данных"
"УФССП России по Республике Татарстан","67/25/16000-АП","03.02.2026","ПАО ""Совкомбанк""","4401116480","1144400000425","ч.1 ст.14.57","230-ФЗ","50000.00","нет данных","нет данных"
"УФССП России по Республике Татарстан","65/25/16000-АП","03.02.2026","ООО ПКО ""Филберт""","7841430420","1107847250961","ч.1 ст.14.57","230-ФЗ","100000.00","нет данных","нет данных"
"УФССП России по Республике Татарстан","61/25/16000-АП","27.01.2026","ПАО ""МТС-Банк""","7702045051","1027739053704","ч.1 ст.14.57","230-ФЗ","50000.00","нет данных","нет данных"
"УФССП России по Республике Татарстан","58/25/16000-АП","13.01.2026","ООО ""Сириус""","9703214387","1257700272686","ч.6 ст.14.57","230-ФЗ","Дело прекращено","нет данных","нет данных"
"УФССП России по Республике Татарстан","57/25/16000-АП","13.01.2026","ООО ""трек""","7743471436","1257700229104","ч.6 ст.14.57","230-ФЗ","Дело прекращено","нет данных","нет данных"
"УФССП России по Республике Татарстан","51/25/16000-АП","13.01.2026","ООО ""трек""","7743471436","1257700229104","ч.6 ст.14.57","230-ФЗ","Дело прекращено","нет данных","нет данных"
"УФССП России по Республике Татарстан","50/25/16000-АП","13.01.2026","ООО ""Сириус""","9703214387","1257700272686","ч.6 ст.14.57","230-ФЗ","Дело прекращено","нет данных","нет данных"
"УФССП России по Республике Татарстан","48/25/16000-АП","12.05.2026","ПАО ""АК БАРС"" БАНК","1653001805","1021600000124","ч.1 ст.14.57","230-ФЗ","150000.00","нет данных","нет данных"
"УФССП России по Республике Татарстан","44/25/16000-АП","12.05.2026","ПАО ""АК БАРС"" БАНК","1653001805","1021600000124","ч.1 ст.14.57","230-ФЗ","150000.00","нет данных","нет данных"
"УФССП России по Республике Татарстан","43/25/16000-АП","12.05.2026","ООО МКК Академическая","5407973316","1195476007605","ч.1 ст.14.57","230-ФЗ","150000.00","нет данных","нет данных"
"УФССП России по Республике Татарстан","32/25/16000-АП","11.03.2026","ПАО ""Ростелеком""","7707049388","1027700198767","ч.1 ст.14.57","230-ФЗ","150000.00","нет данных","нет данных"
"УФССП России по Республике Татарстан","17/25/16000-АП","13.04.2026","ПАО Совкомбанк","4401116480","1144400000425","ч.1 ст.14.57","230-ФЗ","50000.00","нет данных","нет данных"
"УФССП России по Республике Татарстан","12/25/16000-АП","14.04.2026","ПАО ""АК БАРС"" БАНК","1653001805","1021600000124","ч.1 ст.14.57","230-ФЗ","150000.00","нет данных","нет данных"
"УФССП России по Республике Татарстан","5/25/16000-АП","14.04.2026","ПАО ""Совкомбанк""","4401116480","1144400000425","ч.1 ст.14.57","230-ФЗ","50000.00","нет данных","нет данных"
"УФССП России по РСО – Алания","1/26/15000-АП","02.06.2026","НАО ПКО ""ПКБ""","2723115222","1092723000446","ч.1 ст.14.57","230-ФЗ","100000.00","нет данных","нет данных"
"УФССП России по Республике Мордовия","3/26/13000-АП","21.04.2026","ООО ПКО ""Авангард""","6685165403","1196658052414","ч.1 ст.14.57","230-ФЗ","25000.00","нет данных","нет данных"
"УФССП России по Республике Мордовия","2/26/13000-АП","24.03.2026","ООО ""ПКО ""АНТАРЕС""","9709065653","1207700362540","ч.2 ст.14.57","230-ФЗ","Предупреждение","нет данных","нет данных"
"УФССП России по Республике Мордовия","1/26/13000-АП","17.02.2026","ООО ""Микрофинансовая компания Новое финансирование""","6162073437","1166196099057","ч.1 ст.14.57","230-ФЗ","50000.00","нет данных","нет данных"
"УФССП России по Республике Мордовия","21/25/13000-АП","23.01.2026","ПАО ""СОВКОМБАНК""","4401116480","1144400000425","ч.1 ст.14.57","230-ФЗ","40000.00","нет данных","нет данных"
"УФССП России по Республике Мордовия","20/25/13000-АП","23.01.2026","ООО МКК ""Броктон""","1685013200","1231600043619","ч.1 ст.14.57","230-ФЗ","35000.00","нет данных","нет данных"
"УФССП России по Республике Мордовия","19/25/13000-АП","13.01.2026","ООО МКК ""Броктон""","1685013200","1231600043619","ч.1 ст.14.57","230-ФЗ","45000.00","нет данных","нет данных"
"УФССП России по Республике Мордовия","18/25/13000-АП","13.01.2026","ООО МКК ""Бриз""","5404070027","1185476002117","ч.1 ст.14.57","230-ФЗ","30000.00","нет данных","нет данных"
